what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788365231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788366026
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788366039
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328788367822
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788368477
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328788379848
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328788381977
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788382655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788383401
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788383425
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328788385018
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788385677
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328788495903
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788509567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788530173
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328788535582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328788546274
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328788563284
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788565619
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788566322
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788566342
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328788568041
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788568797
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328788577427
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328788579993
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788580890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788581576
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788581593
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328788583470
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788584067
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328788598392
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788599014
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328788627496
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328788643024
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328788671370
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328788674549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788675447
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788676186
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788676205
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328788678575
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788679546
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328788714347
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328788747472
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788748480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788749288
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788749310
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328788751249
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788751876
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328788779063
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328788793788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788795287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788796071
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788796086
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328788797828
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788798451
activated,editor,org.eclipse.wb.css,1.2.0.r37x201109270317,"org.eclipse.wb.css.editors.guiEditor",1328788812173
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328788815436
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328788817164
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328788823598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788824629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788825217
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788825239
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328788826966
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788827572
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328788847781
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788848486
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328788878873
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328788891085
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788892233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788893067
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788893086
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328788894795
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788895486
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328788912869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328788922640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788926151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328788927031
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788927051
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328788928621
activated,view,com.google.gwt.eclipse.oophm,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.DevModeView",1328788929421
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1328788957623
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328788959062
